section;entree;nature;sous_entree;traduction_ewe
A;adhérence;f;;kuku de nu nu. adhérer  vi   ku  de  nu  nu,  te  de  nu  nu. adhésion  kuku  de  nu  nu,  lolô  de  nu  dzi.
A;adieu;m;;kaklâ : amekaklâ. adieu   mt   hede  nyuie  :  no  anyi  sesie  !  meyi  lo  !  do agbe  15. faire  ses  -x  à  q.   do  do  agbe  na  ame;  klâ  ame. adjacent  (être)     te  de  nu  nu,  le  nu  gbo.
A;adjectif;m;;nonomefianya; adjektif.
A;adjoindre;vt;;kpe de nu nu. adjurer   de  kuku  vevie;  ta  nu  —  ka  atam  de  nu dzi.
A;adjuration;f;;nutata, atamkaka, hoyoyo.
A;admettre;vt;;na mo, de mo na ame; — bù bena
A;;;q. dans une société;ho ame de ha me.
A;administrateur;m;;dzidula, nunola.
A;administration;f;;takpokpo, dzidudu, nunono.
A;administrer;vt;;na nu ame; — kpo ame ta, kpo nu  dzi.
A;;;les sacrements;na sakramentowo ame.
A;;;un malade;si Amikokoe na dono.
A;;;des coups de bâton;îo ame kple ati, \via ame kple  ba. admirable    a    wonuku,  gâ,  moyatoe.
A;admiration;f;;nukunuwowo, kafukafu.
A;admirer;vt;;kafu, wo nuku na ame, kpo nu mo- yatoe.
A;admission;f;;amehoho de nu me, monana.
A;admixtion;f;;tsakatsaka. adm  —  adu admonestation    î    nuhohlô,  nyagbegbe  n'ame. admonition    î  nuhohlô.
A;admonester;vt;;hlô nu ame, gbe nya na ame.
A;;;q. en particulier;ha wonu ame le bebe me. le  bebe  me.
A;admoniteur;m;;dzikpola. adolescence   î   dekakpuime  (hommes) detugbuime  (filles),
A;adolescent;m;;dekakpui. adolescente    î  detugbui.
A;s'adonner;v;;tso dokui na ; wo nu.
A;;;au libertinage;no agbe bada, dze ha. adopter  q.    vt    ho  ametutovi  abe  ame  nuto  amevi '  ene.
A;;;un enfant;ho devi de viawo dome.
A;;;une opinion;lô de nu dzi, lô de susu ade dzi.
A;adoption;f;;devi lioho dzi.
A;adoration;f;;Mawu sesê.
A;adorer;vt;;së Mawu, bliba na Mawu.
A;;;les idoles;subo (wo) trô, li trô.
A;s'adosser;v;;de mê nu; zio de nu nu.
A;;;contre un mur;de aha gli, de mê gli.
A;adoucir;vt;;wo nu wovivi ; do vivi de nu nu, de nu  dzi.
A;;;la colère;fa dzi na ame.
A;;;la douleur;fa veve nu.
A;adoucissement;m;;îafa, akofafa, viviwowo.
A;adresse;f;;nkononlo de leta dzi ; ameriko kple nofe;  —  adanudzedze,  abladede.
A;adresser;vt;;fia, kplo; — de kuku na ame.
A;;;une lettre;nlo ame nko kple nofe de leta dzi.
A;;;la parole à q.;fo nu na ame, gblo nya na ame.
A;;;des reproches à;ka mo na ame. s'adresser  à  q.    yi  ame  gbo,  tu  ame. cela  s'adresse  à  vous    eka  wo. adroit    a    woadanu,  dze  adanu.
A;adulateur;m;;apeyola, apedula, numevivito.
A;adulation;f;;apeyoyo, apedudu.
A;aduler;vt;;yo ape, du ape,
A;adulte;m;;ame tsitsi.
A;adultère;m;;(acte) ahasiwowo^ amesrômomô. adu  —  aîî
A;;;(homme);ahasiwola, amesrômôla. commettre  un-    wo  ahasi,  mô  amebubu  srô.
A;adultérin;m;;ahasivi, gbolovi, gbomeîuvi. advenir    vi    dzo,  va  dzo,  va  eme.
A;adverbe;m;;adverb.
A;adversaire;m;;futo, ametâla, fulela, keto. adverse    a   keto,  îuto.
A;adversité;f;;dzogbevôe, fukpekpe, nuhaha.
A;aérer;vt;;sia nu de ya nu ; wu mo na ya, na mo aérien    a    nusi  me  y  a  le,  nusi  le  ya  me. conduit  aérien    hlo,  îuîuto.
A;aéroplane;m;;yamewu.
A;aéronaute;m;;yameWudola, yamewukula.
A;affabilité;f;;domenyonyo, mokoko, domefatonyenye. affable    a    domenyoto,  mokola,  domefato.
A;affadir;vt;;wo be nu menyo na dudu o.
A;affaiblir;vt;;wo lame gbodzo ; de nusê le ame nu.
A;s'affaiblir;vt;;gbodzo.
A;affaiblissement;m;;gbodzogbodzo, nude<Je, nude- deda.
A;affaire;f;;nya, nyadzodzo, nu. cela  c'est  votre-    ekpo  de  gbo  wô,  eka  wô. pour-    de  asinu  ta. faire  à  q.  son-    îo  ame,  wu  ame.  , avoir  une  mauvaise-  sur  les  bras  :  ge  de  haha  me. se  mêler  des-  d'autrui  :  de  nu  amebubu  îe  nya me. comment  vont  vos-    aleke  wô  dowowo  le  hâ  ? faire  de  bonnes-  s  kpo  nudzi  dédie,  nu  dze  dzL n'ame. affairé    a    wawâ,  tukadadzinola
A;affaissement;m;;lame gbodzogbodzo.
A;affaisser;vt;;te de anyi.
A;s'affaisser;v;;tra wo, yi to, dze anyi, lame tutu» n'ame. affamé    dowu,  dowuito. être-    blo  di  ku,  do  wu  ame. affamer  q.   vt  gbe  nududu  na  ame,  tè  nududu  ame.
A;affectation;f;;nuwowo • adanutoe, nukpakpa de nu dzi. <8 aîî  —  aîî affecté   a  adanutoe.
A;affecter;vt;;lô nu wu, wo alakpanu ; kpa nu de nu  dzi,  wo  anyiranu.
A;affection;f;;lolô ; — dolélé. porter  de  F-  à  q.   lô  ame  îe  nyâ  gbo. prendre  q*  en-    va,  lô  ame. retirer  son-  de  q.    de  ko  le  ame  nu affectionné    a  lolôa,  lolôto. SSESr?i>  amefenyagbo. affectueux    a    vivi,  lolôto.
A;affermir;vt;;do nusë nu, wo nu woasênu, ka de nudzi.
A;affermissement;m;;nusêdodo, kakâdedzi.
A;affiche;f;;agbalê si wo klâ de gli nu hena nyata- kaka. afficher  qc.    vt   klâ  agbalê  de  gli  nu  na  nyatakaka.
A;affiler;vt;;nyirê nu (he, yi, kodzi).
A;affiliation;f;;hoho de habobo me.
A;affilié;m;;hameme, hameto, habobometo.
A;affilier;vt;;ho ame de habobo me.
A;s'affilier;v;;zo kple ame, yi de ame dzi, do ha kple ame.
A;affiner;vt;;klo, lolo nu (des métaux),
A;affinité;f;;fomedodo. affirmation    î    kpedodo  nya  dzi,  kakâdedzi.
A;affirmer;vt;;do kpe nya dzi, ka de nu dzi.
A;affliction;f;;fudede, fukpekpe, nuhaha.
A;affliger;vt;;de fui na ame, ve dome na ame, du dzi na  ame. être  affligé  ha. s'-  de  qc.    ha  nu  le  nu  nu. cela  m'afflige    evem,  edu  dzi  nam.
A;;;son corps;wo nuveve amedokui, na vevesese amedokui. être  affligé  d'une  maladie  :  do  lé  ame,  lé  do.
A;affluence;f;;zifofo, hadede, hahado agbososo.
A;affluent;m;;alodzedze, alo, alodze. affluer    vi  —  si;  —  so  gbo,  fo  zi.
A;affolement;m;;tametoto, bublu, nyamanyama. aff  —  agg
A;affoler;vt;;ble ame, flu ame, toto tame na ame.
A;affranchir;vt;;ho ame ; de ame, na mo ame, de asi ame  nu.
A;;;une;lettre he fe de leta ta ; do stampo leta dzi.
A;affranchissement;m;;dede, hoho, asidede ame nu, monana.
A;affre;f;;vodidi, nodzi, vovô. les  -s  de  ia  mort    ku  fe  nodzi.
A;affréter;vt;;de agba wu. affreux    a    nunyôtoe,  nodzitoe. Afrique   f    Afrika,  ameyime.
A;africain;m;;ameyi, afrikato.
A;affront;m;;dzudzu, nukpe. faire  un-  à  q.   dzu  ame,  do  nukpe  ame,  he  nya  de ame  nu.
A;affronter,;vt;;tsi tre de nu nu, kpa ngo ame.
A;;;Pennemi;kpe awa kalêtoe.
A;affût;m;;hadede. être  à  F-   le  hadede  dzi,  le  ha  me. afin  que    cj    bena,  be,  ne. afin  de    cj    be,  bena,  he.
A;agacer;vt;;dia ame nu, via ame nu, dzi ge ame nu.
A;agacerie;f;;gedzidzi.
A;agacement;m;;gedzidzi.
A;âge;m;;tsitsime, fehoho.
A;;;mûr;tsitsime.
A;;;avancé;amegâkuku, nyagâkuku, fe gede hoho. bas-  devime. dès  le  bas.   tso  devime  ke. avoir  P-  de  raison   tsi  gbenya  le  nu  nyam. avoir  P-  nubile    do  ame  me. quel  -as-tu  fe  nenie  le  asiwô  ?  fe  nenie  nèho  ? âgé    a    tsitsi,  hoho. être-  tsi,  do  hoho.
A;agencer;vt;;dô nu
A;agence;f;;dowowo, agbanunono, agbanunofe.
A;agenouiller;vt;;dze klo.
A;s'agenouiller;v;;dze klo.
A;agent;m;;dowola, agbanunola, do fe amegâ.
A;agglomération;f;;fufofo, kolili, tutudo. agg  —  agr
A;agglomérer;vt;;îo nu efu, li ko nu.
