section;entree;nature;sous_entree;traduction_ewe
A;;;son chapeau;do kuku kpo
A;;;son coup;dzidze nyuie
A;alacrité;f;;wawâ, dzidzo
A;alarmer;vt;;do abobo, do aîa, do haha de ame, do vodi na ame
A;s'alarmer;v;;dzi no, dzo hahaha, dzika tso ame îo
A;albinos;m;;amegi, ame biabiâ, gesosi
A;alcool;m;;aha, asafi
A;alentour;adv;;godo, kpedo, îohla kpedo
A;aliéné;m;;tsukuno, adawakuda, adawato
A;aliéner;vt;;de asi le nu nu na ame bubu, dzra nu
A;alignement;m;;nudodo, tadofe, ka, agbaka, lika
A;aligner;vt;;do nu le akasa nu
A;aliment;m;;nududu
A;alimenter;vt;;nyi, nyrô
A;s'aliter;v;;no anyimlofé, no aba dzi
A;allaiter;vt;;na no devi
A;allécher;vt;;ble ame nu, ble mo na ame
A;;;un chien;ble avû nu
A;allée;f;;moiata esi wodo ati de akpawo kple eve na
A;allégement;m;;nudede le nu dzi, îaîa
A;alléger;vt;;îa nu nu, tsi nu nu
A;;;la souffrance;fa veve nu
A;allégorie;f;;lododo, glî, lo, abebua
A;allégresse;f;;dzidzokpokpo, aseyitsotso
A;alléguer;vt;;gblo nya, de nu fia, yo abe dasedidî eue. Allemagne f Dzama'nyigba
A;allemand;m;;Dzama alo dzamato
A;;;lentement;yi dododo, zo dododo
A;;;à la chasse;yi adegbe
A;;;en voyage;yi mo dzi, yi nugbe
A;;;en compagnie;zo ha me
A;;;en promenade;tsa, di tsa
A;;;en France;yi Frâseawode
A;;;en pente;di abù
A;;;en pointe;lo, lio aku
A;;;en bicyclette;to keke, do keke, do gaso
A;;;à pied;to afo, zo afo
A;;;à Pécole;yi suku, de suku
A;;;à la rencontre de;yi do go ame
A;;;à cheval;do so
A;;;au fond;yi to
A;;;au. galop;fu du sesië (abe so ene)
A;;;chez q.;yi ame gbo
A;;;chercher q.;kplo ame ve, yi kplo ame ve
A;;;se coucher;yi anyimlofe
A;;;prendre q.;kplo ame ve
A;;;rejoindre q.;kpe ame, tu ame, he ame
A;;;voir q.;de ame gbo, kpo ame da
A;alliage;m;;nutsakatsaka, nubakabaka
A;alliance;f;;nubabla, dzodudu
A;;;secrète;hagaglebobo, boha le bebeme
A;;;(parenté);îome, fometowo
A;allié;m;;hadela, dzoduholô, îometo, tudekato, adze-lukuto
A;s'allier;v;;bla nu, wo deka kple ame, da tu deka
A;allonger;vt;;wo nu didi de dzi, ke nu, he nu me
A;;;le bras;do abo da
A;allongement;m;;kekeme, didiwowo de dzi
A;allouer;vt;;na nu ame
A;allumer;vt;;do dzo, si dzo
A;;;le feu dans le poêle;do dzo de kpo me
A;;;la lampe;si akadi, si akadigbe
A;allumette;f;;dzosinu, dzositi, matsesi
A;allure;f;;zozo, alizozo, agbenono, nonome
A;almanach;m;;nkekegbalê
A;alors;adv;;tetela, emegbela, eyomela
A;alourdir;vt;;wo nu woakpe de dzi, do kpekpe nu
A;alphabet;m;;ABC
A;altérer;vt;;tro, do li nu, tro nya gome, alternation î lidodo
A;alterner;vt;;do li, ho ame tefe, wo nu adzo-adzo
A;alternativement;adv;;adzo-adzo, deka-deka, lido-dotoe
A;aluminium;m;;ga gi wodzui de
A;amaigrir;vt;;di ku, di ka, du amedokui
A;s'amaigrir;v;;di ku, blo
A;amaigrissement;m;;tsitrenudo, gbohi, tsohi tso ame
A;amalgame;m;;ga toto kple klosalotsi
A;amant;m;;lôla, lolôto, holô
A;s'amarrer;v;;da seke, dze
A;amas;m;;kolili, kç, tutudo
A;amasser;vt;;îo nu fu, bo, li ko nu
A;s'amasser;v;;îo îu, tù nu do
A;amateur;m;;lôla, nulôla
A;ambassadeur;m;;dogbedela, amedodo, dola
A;;;indigène;atikploto, atikplotsola
A;ambition;f;;riukeklê, bubudzidzi na dokui
A;ambitionner;vt;;dzi bubu, wo adive ambulant a si le zozom
A;âme;f;;luwo, gbogbo
A;amélioration;f;;dododo, kakademe
A;améliorer;vt;;do nu do, dzra nu do, ka de erne
A;amende;f;;febabla, amenyinyi kple ga, faire -honorable do taflatse, do sebio, bia tso-tsoke
A;amendement;m;;wowonyùie de dzi, dododo
A;amender;vt;;wo nu nyuie de dzi, do nu do (ka la do nuteîe)
A;s'amender;v;;do amedokui do, tro dzime, do li de
